"","County.Code","Date","AQI","daily.Avg.precipitation","daily.Avg.temp","Current.Truck","Delta.Truck","Current.Traffic","Delta.Traffic","Category","Defining.Parameter","county.Name"
"1",1,2018-05-23,42,7.85,19.85,15,2,300,53,"Good","Ozone","Adams "
"2",1,2019-08-22,49,1.28,26.18,689,120,11560,2052,"Good","Ozone","Adams "
"3",1,2019-10-24,39,0,10.09,197,34,2329,398,"Good","Ozone","Adams "
"4",1,2019-11-06,48,0,7.85,11,2,155,27,"Good","PM2.5","Adams "
"5",1,2019-11-12,31,2.68,9.03,619,114,12477,2307,"Good","Ozone","Adams "
"6",1,2020-03-11,31,1.69,10.44,102,16,1631,272,"Good","Ozone","Adams "
"7",1,2020-03-12,37,0,6.37,22,4,640,107,"Good","Ozone","Adams "
"8",1,2020-06-03,61,0,18.47,242,39,3040,504,"Moderate","Ozone","Adams "
"9",1,2020-06-09,58,0,19.63,24,4,475,79,"Moderate","Ozone","Adams "
"10",1,2020-06-10,60,0,23.64,268,46,3273,567,"Moderate","PM2.5","Adams "
"11",1,2020-06-16,49,0,18,1287,262,21351,4143,"Good","Ozone","Adams "
"12",1,2020-06-17,42,0,19.19,2155,531,23039,5232,"Good","Ozone","Adams "
"13",1,2020-06-18,39,3.38,19.45,882,170,8009,1539,"Good","Ozone","Adams "
"14",1,2020-06-25,43,0,22.09,14,2,234,38,"Good","Ozone","Adams "
"15",1,2020-06-30,47,0,24.8,213,39,6240,1129,"Good","PM2.5","Adams "
"16",1,2020-09-22,44,0,10.67,49,9,4941,857,"Good","Ozone","Adams "
"17",1,2021-04-13,60,1.28,10.93,88,10,955,107,"Moderate","PM2.5","Adams "
"18",1,2021-04-14,53,0,12.8,71,8,997,111,"Moderate","PM2.5","Adams "
"19",1,2021-04-15,47,1.26,11.82,49,5,1643,183,"Good","PM2.5","Adams "
"20",1,2021-04-20,48,0,11.87,929,105,18684,2137,"Good","PM2.5","Adams "
"21",1,2021-04-21,47,0,15.43,723,85,14101,1652,"Good","PM2.5","Adams "
"22",1,2021-04-27,71,0,11.53,18,2,1432,168,"Moderate","Ozone","Adams "
"23",1,2021-05-26,57,0,19.04,78,8,1174,132,"Moderate","PM2.5","Adams "
"24",1,2021-06-08,52,0,26.7,549,63,8213,958,"Moderate","PM2.5","Adams "
"25",1,2021-07-21,102,0,24.43,2533,370,35792,5076,"Unhealthy for Sensitive Groups","PM2.5","Adams "
"26",1,2021-07-27,69,0,25.1,57,7,1331,156,"Moderate","PM2.5","Adams "
"27",1,2021-10-27,30,1.52,12.52,114,14,2662,304,"Good","Ozone","Adams "
"28",1,2022-03-22,41,0,11.55,2481,210,26415,2192,"Good","Ozone","Adams "
"29",1,2022-03-23,34,0,9.25,24,2,235,19,"Good","Ozone","Adams "
